,variety
7787,Grüner Veltliner
35373,Zinfandel
35536,Merlot
44700,Sauvignon Blanc
75491,Cabernet Sauvignon
94829,White Blend
9895,Cabernet Sauvignon
32832,Tempranillo Blend
26413,Garganega
56041,Chardonnay
72911,Gamay
33272,Rosé
17089,Merlot
115162,Chardonnay
67816,Champagne Blend
44078,Petite Sirah
25052,Sauvignon Blanc
105659,Bordeaux-style Red Blend
129269,Pinot Blanc
26748,Pinot Grigio
60970,Melon
120644,Tempranillo Blend
76825,Merlot
67929,Sauvignon Blanc
3235,Chardonnay
82337,Pinot Noir
66430,Chardonnay
56389,Champagne Blend
116523,Viognier
41853,Chenin Blanc
121489,Sauvignon Blanc
30726,Sparkling Blend
44197,Red Blend
95,Gamay
50107,Sangiovese
105835,Chardonnay
10526,Zinfandel
59019,Pinot Noir
88506,Chardonnay
4111,Pinot Noir
40369,Pinot Noir
71180,Pinot Noir
50593,Cabernet Franc
47635,Meritage
10396,White Blend
93758,Bordeaux-style Red Blend
54290,Riesling
32148,Carmenère
11218,Nebbiolo
53499,Pinot Noir
51655,Tempranillo Blend
91507,Chardonnay
32072,Pinot Noir
128293,Petite Sirah
129886,Malbec
94432,Red Blend
45200,Cabernet Sauvignon
1587,Chardonnay
29276,Riesling
29890,Pinot Noir
96117,Chardonnay
126954,Chardonnay
128308,Pinot Noir
72341,Verdicchio
53361,Chardonnay
776,Chardonnay
102827,Riesling
80932,Viognier
117476,Dolcetto
14871,Riesling
112496,Gamay
9635,Chardonnay
68615,Chardonnay
128648,Cabernet Sauvignon
94827,Bordeaux-style Red Blend
111293,Red Blend
81358,Red Blend
89008,Red Blend
88730,Pinot Noir
81508,Red Blend
110835,Riesling
16224,Fiano
39919,Cabernet Sauvignon
616,Chardonnay
90919,Pinot Noir
54242,Malbec
105513,Syrah
26312,Merlot
110308,Pinot Noir
34514,Viognier
76253,Merlot
14946,Tempranillo
19208,Cabernet Sauvignon
37269,Grenache
95580,Sparkling Blend
37067,Tempranillo
112742,Tempranillo
86465,Riesling
102343,Riesling
81120,Chardonnay
96591,Sauvignon Blanc
83601,Malbec
28982,Sauvignon Blanc
52056,Merlot
94545,Chardonnay
101127,Syrah
126175,Sangiovese
75947,Cabernet Sauvignon
53409,Red Blend
42025,Chardonnay
64227,Pinot Noir
26847,Rosé
112547,Sangiovese
503,Sauvignon Blanc
21851,Sauvignon Blanc
15270,Pinot Noir
129116,Merlot
42483,Portuguese Red
54627,Portuguese Red
21646,Riesling
65680,Barbera
109616,Nero d'Avola
17735,Chardonnay
116677,Red Blend
48246,Sauvignon Blanc
90829,Mourvèdre
20223,Pinot Noir
4525,Pinot Noir
35056,Prosecco
1706,Chardonnay
9088,Red Blend
66209,Pinot Noir
72038,Cabernet Sauvignon
30557,Pinot Noir
76964,Red Blend
77188,White Blend
73882,White Blend
69778,Pinot Grigio
12032,Pinot Noir
116262,Rosé
111754,Sangiovese Grosso
115559,Red Blend
117045,Sparkling Blend
55692,Merlot
37141,Rhône-style Red Blend
97212,Rosé
87694,Portuguese Red
29940,Rosé
82179,Zinfandel
7785,Shiraz
19533,Pinot Gris
41320,Melon
43782,Zinfandel
11654,Greco
129324,Pinot Noir
68413,Pinot Noir
39107,White Blend
12683,Syrah
119866,Pinot Noir
111710,Riesling
86841,Viognier
72208,Pinot Noir
124430,Bordeaux-style Red Blend
926,Malbec
106115,Red Blend
115963,Portuguese Red
91474,Rosé
22948,Gamay
39452,Red Blend
7005,Bordeaux-style Red Blend
77801,Pinot Noir
121248,Red Blend
87533,Chardonnay
50340,Fiano
36781,Syrah
1454,Red Blend
55764,Pinot Blanc
27488,White Blend
76205,Pinot Noir
5391,Pinot Noir
50345,Sauvignon Blanc
117700,Tempranillo
96868,Syrah
104588,Red Blend
57052,Chardonnay
115171,Chardonnay
37951,Chardonnay
77705,Malbec
106064,Pinot Noir
102036,Chardonnay
119879,Bordeaux-style Red Blend
22862,Chardonnay
116725,Riesling
36838,Cabernet Sauvignon
67846,White Blend
67194,Chenin Blanc
8106,Pinot Noir
14203,Garnacha
17310,Red Blend
77175,Merlot
45597,Riesling
88899,White Blend
46887,Chardonnay
40396,Riesling
8161,Portuguese White
38995,Pinot Noir
8509,Red Blend
105154,Grüner Veltliner
24809,Pinot Noir
123908,Rosé
93003,Sauvignon Blanc
53123,Cabernet Sauvignon
22482,Chardonnay
90676,Red Blend
119057,Merlot
120379,Red Blend
91495,Sauvignon Blanc
64197,Cabernet Sauvignon
3152,Cabernet Sauvignon
13303,Cabernet Sauvignon
95493,Portuguese White
42355,Vermentino
19244,Sangiovese
58263,Chardonnay
39833,Syrah
86212,Carmenère
14455,Syrah
28010,Malbec
53068,Red Blend
114930,Red Blend
663,Cabernet Sauvignon
18775,Gamay
14034,Viognier
16324,Portuguese Red
70566,Sangiovese
107555,Portuguese Red
68321,White Blend
5973,Merlot
109361,Zinfandel
58068,Pinot Gris
106082,Merlot
57158,Pinot Noir
6511,Tempranillo
87141,Portuguese Red
53008,Sauvignon Blanc
23672,Chardonnay
74926,Pinot Grigio
27782,Red Blend
85136,Sangiovese
67955,Riesling
21696,Cabernet Sauvignon
8139,Sparkling Blend
35711,Cabernet Sauvignon
108692,Pinot Noir
108802,Nebbiolo
37335,Cabernet Franc
108389,Tempranillo
126134,Bordeaux-style Red Blend
114869,Chardonnay
106411,Riesling
17262,Red Blend
58024,Sangiovese
14101,Cabernet Sauvignon-Syrah
28302,Malbec
61075,Sauvignon Blanc
124810,Bordeaux-style Red Blend
68121,Sauvignon Blanc
91425,Gewürztraminer
22041,Rosé
111499,Grüner Veltliner
43519,Rosé
123640,Sparkling Blend
56470,Touriga Nacional
124978,Red Blend
112835,Zinfandel
13980,Tempranillo
37025,Port
128225,Rosé
37560,Tempranillo Blend
72944,Red Blend
120937,Riesling
40157,Malbec
42504,Riesling
42358,Cabernet Sauvignon
125013,Riesling
44133,Pinot Noir
129365,Chardonnay
35639,Rosé
68684,Roussanne
28392,Grüner Veltliner
44243,Portuguese Red
118092,Portuguese Red
120455,Cabernet Sauvignon
76071,Syrah
93473,Port
40711,Glera
80014,Portuguese Red
114653,Red Blend
114755,Bordeaux-style Red Blend
76853,"Corvina, Rondinella, Molinara"
100909,Zinfandel
57176,Bordeaux-style Red Blend
81729,Sangiovese
110450,Rosé
86796,Chardonnay
111306,"Corvina, Rondinella, Molinara"
114282,Syrah
105412,Pinot Noir
43200,Cabernet Sauvignon
5943,Bordeaux-style Red Blend
126700,Cabernet Sauvignon
110728,Cabernet Sauvignon
30754,Glera
74397,Merlot
122605,Riesling
102651,Chardonnay
30157,Sauvignon Blanc
129644,Rhône-style Red Blend
37164,Bordeaux-style Red Blend
125278,Cabernet Sauvignon
102850,Red Blend
36737,Gamay
14367,Grenache Blanc
20168,Sparkling Blend
94804,Pinot Noir
61954,Red Blend
94473,Merlot
79285,Bordeaux-style Red Blend
82804,Gamay
117304,Tempranillo
32958,Cabernet Sauvignon
19170,Cabernet Sauvignon
112265,Pinot Noir
116260,Chardonnay
64842,"Corvina, Rondinella, Molinara"
15273,Zinfandel
118128,Chardonnay
68284,Gewürztraminer
46810,Chardonnay
53021,Chardonnay
65952,Pinot Noir
69899,Bordeaux-style White Blend
9251,Shiraz
9101,Rosé
35461,Riesling
18921,Chardonnay
89966,Riesling
45874,Rosé
108337,Rhône-style Red Blend
8569,Red Blend
21892,Port
69928,Tempranillo
1732,Sangiovese
77186,Cabernet Sauvignon
114932,Grenache
95724,Red Blend
31057,Riesling
40593,Sauvignon Blanc
119203,Bordeaux-style White Blend
71614,Pinot Noir
44267,Barbera
51031,Pinot Noir
648,Riesling
52610,Rosé
55081,Bordeaux-style Red Blend
10960,Red Blend
7049,Rosé
115175,Pinot Noir
4965,Cabernet Sauvignon
14657,Sauvignon Blanc
89767,Chardonnay
122461,Red Blend
62059,Syrah
127550,Red Blend
35101,Merlot
76077,Zinfandel
32555,Cabernet Sauvignon
20100,Grenache
114268,White Blend
38558,Viognier
48200,Grüner Veltliner
78189,Pinot Noir
87196,Zinfandel
39879,Pinot Noir
101563,Rosé
60003,Champagne Blend
27379,Rosé
101132,Chardonnay
65960,Pinot Noir
26012,Portuguese White
20887,Pinot Noir
89249,Nebbiolo
100102,Cabernet Sauvignon
6665,Cabernet Sauvignon
128933,Chardonnay
89052,Pinot Noir
20669,Chardonnay
44104,Pinot Noir
31180,Cabernet Sauvignon
113424,Barbera
117883,Portuguese Red
125948,Malbec
119699,Syrah
2630,Zinfandel
34448,Sauvignon Blanc
114153,Chardonnay
79468,Rhône-style Red Blend
99616,Chardonnay
22491,Cabernet Franc
128389,Malbec
6582,Chardonnay
107283,Riesling
45223,Champagne Blend
70863,Chardonnay
77031,Chardonnay
126035,Rosé
75640,Nero d'Avola
78033,Riesling
105088,Bordeaux-style Red Blend
74423,Petite Sirah
11207,Red Blend
9738,Cabernet Sauvignon
11781,Albariño
33990,Pinot Noir
71192,Portuguese Red
13985,Bordeaux-style Red Blend
51365,Pinot Noir
91756,Cabernet Sauvignon
114632,Grüner Veltliner
80187,Chardonnay
70562,Pinot Noir
11655,Champagne Blend
36746,Cabernet Sauvignon
85013,Cabernet Sauvignon
18916,Rosé
42568,Sauvignon Blanc
96633,Cabernet Sauvignon
19575,Merlot
23625,Merlot
121734,Merlot
92433,Chardonnay
34413,Merlot
32406,Pinot Bianco
39116,Pinot Noir
69124,Cabernet Sauvignon
33844,Chardonnay
26660,Chardonnay
67336,Merlot
55232,Gewürztraminer
21503,Riesling
127547,Cabernet Sauvignon
122266,Red Blend
59109,Champagne Blend
47067,Red Blend
107357,Pinot Noir
46692,White Blend
76197,Portuguese Red
48244,Tempranillo
75967,Malbec
81363,Riesling
21642,Rhône-style Red Blend
18891,Red Blend
116090,Viognier
105588,Cabernet Sauvignon
88905,Chardonnay
100346,Champagne Blend
57708,Syrah
87876,Grenache
9813,Malbec
109390,Tempranillo
76698,Rosé
40287,Chardonnay
60073,Pinot Gris
91607,Rosé
28024,Rosé
21270,Pinot Noir
10483,Pinot Gris
106212,Tinta de Toro
19467,Chardonnay
21026,Chardonnay
46697,Pinot Noir
15,Riesling
50820,Chardonnay
72744,Viognier
66146,Rosé
16425,Cabernet Sauvignon
65968,Pinot Noir
56218,Red Blend
42921,Chardonnay
71210,Sauvignon Blanc
52478,Tempranillo
66030,Portuguese White
120115,Pinot Noir
123564,Red Blend
87804,Merlot
16525,Riesling
63304,Nero d'Avola
15979,Cabernet Sauvignon
53124,Bordeaux-style Red Blend
81171,Syrah
25083,Red Blend
83876,Sangiovese Grosso
89135,Cabernet Sauvignon
7825,Cabernet Sauvignon
128321,Zinfandel
33895,Rhône-style White Blend
103976,Cabernet Sauvignon
64377,Sauvignon Blanc
28089,Pinot Grigio
50084,Red Blend
26079,Red Blend
41368,Sauvignon Blanc
5793,Rhône-style White Blend
38334,Meritage
66793,Riesling
110307,Red Blend
129095,Chardonnay
115004,Pinot Noir
13337,Riesling
10885,Chardonnay
79239,Red Blend
77944,Moscato
11283,Malbec
104923,Friulano
106506,Nero d'Avola
178,Syrah
28191,Rhône-style Red Blend
35330,Aglianico
31038,Vermentino
16380,Syrah
32870,Pinot Noir
9516,Tempranillo Blend
124593,Nebbiolo
73128,Grenache
65697,Zinfandel
97268,Pinot Noir
7415,Sauvignon Blanc
106846,Pinot Noir
103907,Pinot Noir
14495,Chardonnay
30373,Nebbiolo
127832,Syrah
87032,Rosé
69341,Chardonnay
123232,Chardonnay
67086,Riesling
77339,Syrah
73775,Cabernet Sauvignon
7707,Tempranillo Blend
61161,Red Blend
48921,Chardonnay
118729,Sparkling Blend
89009,Chardonnay
35994,Rosé
65,Chardonnay
30355,Monastrell
54756,Syrah
76922,Glera
62148,Pinot Gris
11115,Cabernet Sauvignon
37770,Cabernet Franc
114504,Cabernet Sauvignon
22793,Tempranillo Blend
35681,Syrah
60442,Cabernet Franc
123118,Bordeaux-style Red Blend
119242,Grüner Veltliner
44346,Cabernet Sauvignon
53773,Syrah
24283,Rosé
67870,Bordeaux-style White Blend
84414,Chardonnay
101175,Cabernet Sauvignon
78843,Pinot Noir
15459,Chardonnay
110442,Malbec
104305,Pinot Noir
74166,Tempranillo
11408,Chardonnay
54540,Petite Sirah
5614,Sauvignon Blanc
100893,Riesling
105385,Cabernet Sauvignon
109515,Portuguese Red
22582,Red Blend
44455,Cabernet Sauvignon
33825,Sauvignon Blanc
48765,Syrah
30011,Pinot Noir
36845,Riesling
53587,Portuguese White
8082,Zinfandel
10141,Syrah
30016,Red Blend
77484,Grenache
113825,Cabernet Sauvignon
116319,Red Blend
90737,Chardonnay
82301,Red Blend
87030,Grenache
7480,Merlot
100208,Sparkling Blend
34341,Malbec
108701,Tempranillo
95685,Zinfandel
51584,Blaufränkisch
15779,Portuguese Red
115102,Pinot Grigio
109964,Rosé
118690,Sauvignon Blanc
55165,Sauvignon Blanc
49232,Pinot Grigio
124823,Chardonnay
57358,Riesling
8049,Nebbiolo
46271,Zinfandel
73376,Chardonnay
101998,Red Blend
109429,Pinot Noir
99495,Cabernet Sauvignon
110143,Sauvignon Blanc
32157,Montepulciano
7698,Meritage
94366,Bordeaux-style Red Blend
22201,Zinfandel
123341,Chardonnay
49484,Chardonnay
27661,Red Blend
4401,Pinot Noir
83969,Chardonnay
71056,Montepulciano
46703,Pinot Noir
75012,Red Blend
91588,Rosé
77421,Tempranillo Blend
15791,Cabernet Sauvignon
5860,Bordeaux-style Red Blend
98507,Bordeaux-style Red Blend
15780,Portuguese Red
30099,Rhône-style Red Blend
34464,Chardonnay
100933,Chardonnay
54344,Bordeaux-style Red Blend
40628,Pinot Noir
40357,Portuguese Red
13272,Bordeaux-style Red Blend
103764,Riesling
17799,Portuguese Red
85247,Pinot Grigio
78460,White Blend
61942,Champagne Blend
46947,Bordeaux-style Red Blend
24344,Syrah
75157,Bordeaux-style White Blend
28412,Red Blend
80367,Sparkling Blend
45256,Nebbiolo
18150,Rhône-style Red Blend
57040,Champagne Blend
84326,Albariño
52178,Bordeaux-style Red Blend
26453,Riesling
44449,Pinot Noir
35908,Sparkling Blend
42008,Champagne Blend
59328,Sangiovese
21974,Syrah
100261,Nebbiolo
66859,Chardonnay
123405,Red Blend
73226,Chardonnay
101899,Red Blend
37641,Bordeaux-style White Blend
73742,Zinfandel
30899,Bordeaux-style Red Blend
104613,Sauvignon Blanc
16142,Nebbiolo
61375,Sparkling Blend
21719,Pinot Noir
34893,Riesling
121899,Cabernet Franc
112076,Pinot Noir
22797,Red Blend
83657,Malbec
110735,Cabernet Sauvignon
7761,Cabernet Sauvignon
129209,Cabernet Sauvignon
110767,Bordeaux-style Red Blend
113449,Pinot Gris
123719,Bordeaux-style Red Blend
70747,Cabernet Sauvignon
81999,Pinot Grigio
38135,Pinot Noir
116292,Nebbiolo
80720,Nebbiolo
98861,Carmenère
93293,Syrah
76332,Chardonnay
114333,Pinot Noir
116561,White Blend
83455,Cabernet Sauvignon
102021,Sauvignon Blanc
67291,Red Blend
824,Merlot
36965,Zinfandel
81213,Gewürztraminer
25283,Garnacha
56758,Sparkling Blend
100768,Glera
120104,Cabernet Sauvignon
57782,Cabernet Sauvignon
2609,Syrah
96102,Chardonnay
1506,Tannat
98616,Pinot Noir
96921,Cabernet Sauvignon
56642,Nebbiolo
112089,Bordeaux-style Red Blend
100202,Glera
39071,Nebbiolo
90871,Chardonnay
20136,Sparkling Blend
102907,Cabernet Sauvignon
79201,Riesling
122227,Chardonnay
82210,Glera
59143,Sauvignon
54486,Syrah
45842,Red Blend
98607,Pinot Noir
45986,Bordeaux-style White Blend
101044,Chardonnay
51512,Pinot Noir
64102,Sangiovese
116259,Syrah
122389,Verdicchio
104011,Rosé
7094,Malbec
87638,Garganega
113571,Sparkling Blend
118633,Cabernet Sauvignon
126037,Rosé
60681,Sparkling Blend
71737,Riesling
81930,Chardonnay
85084,Pinot Noir
20707,Pinot Noir
71942,Red Blend
92,Meritage
109025,Sangiovese
32853,Chardonnay
97386,Malbec
97442,Malbec
18610,Malbec
26277,Grüner Veltliner
124356,Chardonnay
41483,Tempranillo
113281,Montepulciano
37701,Merlot
96551,Bordeaux-style Red Blend
107651,Chardonnay
52231,Merlot
54814,Chardonnay
33405,Pinot Noir
26583,Bordeaux-style White Blend
122378,Chardonnay
61220,Cabernet Sauvignon-Syrah
96813,Tempranillo
45896,Petit Verdot
63652,Portuguese Red
63455,Primitivo
24740,Pinot Noir
118305,Bonarda
108175,Pinot Noir
90106,Zinfandel
12824,Chardonnay
24156,Red Blend
603,Cabernet Franc
105411,Viognier
60724,Gamay
68403,White Blend
51048,Red Blend
39200,Pinot Noir
117191,Red Blend
110578,White Blend
13186,Cabernet Sauvignon
49016,Red Blend
77394,Grüner Veltliner
3798,Sangiovese
6624,Pinot Noir
84285,Cabernet Sauvignon
89374,Cabernet Sauvignon
72950,Chardonnay
118563,Nebbiolo
60304,Merlot
42692,Riesling
50587,Pinot Noir
110565,Riesling
77787,Pinot Noir
53366,Riesling
2207,Pinot Gris
29344,Red Blend
107293,Riesling
77746,Tempranillo
8211,Syrah
79789,Sauvignon
127032,Meritage
118558,Portuguese White
80551,Syrah
11370,Merlot
93033,Red Blend
54757,Bordeaux-style Red Blend
5723,Sauvignon Blanc
90806,Nebbiolo
41842,Cabernet Sauvignon
13043,Sparkling Blend
66933,Roussanne
112057,White Blend
97397,Pinot Noir
89359,Chardonnay
32575,Gamay
78507,Zinfandel
126119,Zinfandel
20911,Greco
31717,White Blend
14557,Garnacha
118069,Merlot
61671,Champagne Blend
1057,Red Blend
122756,Malbec
98900,Red Blend
110568,Blaufränkisch
122993,Sparkling Blend
77828,Chardonnay
120068,Riesling
118176,Syrah
94600,Sauvignon Blanc
58328,Pinot Noir
100978,Portuguese Red
103820,Rosé
117222,Riesling
79501,Chardonnay
103174,Sparkling Blend
129353,Rosé
52060,Bordeaux-style White Blend
56244,Red Blend
39907,Rhône-style Red Blend
31823,Bordeaux-style White Blend
74986,Red Blend
80209,Tinta de Toro
40186,Cabernet Sauvignon
61673,Champagne Blend
124738,Riesling
123335,Rosé
93315,White Blend
118982,Pinot Gris
79251,Rosé
12037,Pinot Gris
85719,Portuguese Red
129952,Zinfandel
104668,Sparkling Blend
84550,Shiraz
4743,Chardonnay
30931,Pinot Noir
62922,Malbec
93789,Merlot
95870,Merlot
48571,Sangiovese Grosso
85227,Chardonnay
56590,Gamay
30401,Red Blend
121719,White Blend
40663,White Blend
29187,Riesling
62667,Red Blend
101606,Syrah
112721,Pinot Noir
37908,Pinot Noir
35301,Sauvignon Blanc
3433,Pinot Noir
120203,Pinot Noir
47836,Chardonnay
34423,Red Blend
15106,Bordeaux-style Red Blend
128525,Chardonnay
58123,Barbera
6337,Glera
83452,Bordeaux-style Red Blend
47766,Tempranillo
56541,Cabernet Sauvignon
25118,White Blend
73174,Chardonnay
57546,Nebbiolo
70794,Riesling
67665,Cabernet Franc
22338,Port
93845,Pinot Noir
19049,Merlot
75271,Gewürztraminer
124764,Portuguese White
107250,Barbera
29721,Verdejo
113147,Sangiovese
98181,Sparkling Blend
107277,Bordeaux-style Red Blend
48463,Riesling
95175,Barbera
84351,Bordeaux-style Red Blend
61159,Syrah
28165,Nebbiolo
116663,Pinot Noir
104311,Bordeaux-style Red Blend
41238,Pinot Noir
114257,Carmenère
33116,Pinot Noir
39881,Bordeaux-style White Blend
28550,Chardonnay
24114,Syrah
11941,White Blend
76038,Red Blend
21749,Pinot Noir
121117,Cabernet Sauvignon
31536,Chardonnay
106028,Riesling
5762,Pinot Noir
126023,Cabernet Sauvignon
117019,Chardonnay
61470,Sparkling Blend
73068,Albariño
89188,Pinot Noir
105006,Portuguese Red
24590,Garganega
29878,Cabernet Sauvignon
22749,Sangiovese
74481,Malbec
6085,Moscato
87336,Rhône-style White Blend
21965,Cabernet Sauvignon
38158,Pinot Gris
99378,Petite Sirah
32284,Cabernet Sauvignon
38637,Rosé
9928,Red Blend
23559,Rosé
114737,Pinot Noir
66402,Viognier
116849,Grenache
99819,Albariño
1233,Pinot Noir
747,Pinot Noir
127053,Sauvignon Blanc
58729,Chardonnay
1367,Rosé
121697,Mencía
96900,Red Blend
57294,Portuguese Red
53432,Dolcetto
33159,Malbec
5247,Chardonnay
106346,Chardonnay
1715,Shiraz
19353,Red Blend
69634,Rosé
88871,Cabernet Sauvignon
60746,Sangiovese Grosso
41996,Red Blend
115806,Pinot Grigio
92482,Bordeaux-style Red Blend
39699,Red Blend
119905,Tempranillo
26867,Bordeaux-style Red Blend
2579,Syrah
95490,Rosé
121939,Pinot Noir
110139,Zinfandel
111597,Shiraz
106050,Pinot Noir
37439,Port
111999,White Blend
89204,Cabernet Sauvignon
5940,Bordeaux-style Red Blend
21113,Pinot Noir
6238,Melon
31754,Chardonnay
90267,Red Blend
33369,Sauvignon Blanc
2672,Pinot Noir
73025,Malbec
25237,Zinfandel
13598,Nero d'Avola
40775,Riesling
23631,Chardonnay
76213,Port
75522,Shiraz
22088,Chardonnay
119514,Bordeaux-style Red Blend
109003,Pinot Noir
17569,Merlot
118294,Rosé
77364,Bordeaux-style Red Blend
42427,Vernaccia
34408,Bordeaux-style Red Blend
46559,Portuguese White
20007,Malbec
33279,Zinfandel
56891,Viognier
31141,Merlot
68228,Cabernet Sauvignon
88088,Cabernet Sauvignon
38392,Cabernet Sauvignon
72390,Syrah
63898,Portuguese White
96204,Tannat
67926,Riesling
125752,Cabernet Sauvignon
59411,Pinot Noir
63116,Nebbiolo
19916,Chardonnay
32133,Malbec
51833,Riesling
45239,Pinot Noir
27789,Bordeaux-style White Blend
66671,Riesling
42814,Rosé
85003,Bordeaux-style Red Blend
75762,Bordeaux-style Red Blend
119398,Nero d'Avola
46540,Malbec
47159,Riesling
58012,Bordeaux-style Red Blend
47175,Cabernet Sauvignon
85659,Sauvignon Blanc
58941,Portuguese White
91934,Champagne Blend
72882,Petit Verdot
114555,Pinot Noir
90417,Barbera
3046,Gamay
27646,Chardonnay
74105,Pinot Noir
89815,Sauvignon Blanc
58841,Pinot Noir
68282,Rosé
72132,Sparkling Blend
68312,Red Blend
75229,Chardonnay
50473,Chardonnay
92965,Pinotage
111751,Moscato
34466,Grüner Veltliner
92979,Pinot Noir
54167,Monastrell
28230,Champagne Blend
7813,Tempranillo
43341,Rosé
120253,Red Blend
54928,Chardonnay
63063,Syrah
106902,Sauvignon Blanc
88462,Rosé
4890,Carmenère
7560,Cabernet Franc
4840,Portuguese Red
54451,Chardonnay
32477,Pinot Noir
4240,Cabernet Sauvignon
12749,Chardonnay
128304,G-S-M
86279,Sauvignon Blanc
89250,Chardonnay
123718,Chardonnay
43189,Malbec
13928,Tempranillo
73321,Pinot Noir
80648,Red Blend
104102,Torrontés
58467,Red Blend
59755,Roussanne
48300,Garnacha
71463,Pinot Noir
73625,Riesling
17457,Merlot
10327,Cabernet Franc
72398,Pinot Noir
37824,Nebbiolo
101602,Pinot Noir
50610,Bordeaux-style Red Blend
17326,Grüner Veltliner
71650,Sangiovese Grosso
113458,Nero d'Avola
90833,Chardonnay
22671,Albariño
70491,Nebbiolo
122460,Pinot Noir
122627,Chardonnay
116931,Sauvignon Blanc
26455,Red Blend
19970,Portuguese Red
4676,Pinot Noir
56262,Merlot
61729,Sparkling Blend
45057,Petite Sirah
41172,Red Blend
80005,Portuguese Red
114088,Rhône-style Red Blend
6646,Chardonnay
77863,Cabernet Sauvignon
25546,Nebbiolo
101204,Chardonnay
59293,Cabernet Sauvignon
121360,Pinot Noir
36090,Pinot Noir
45133,Merlot
14487,Bordeaux-style Red Blend
80593,Pinot Noir
73864,Merlot
99719,Merlot
95470,Chardonnay
100966,Sparkling Blend
66013,Blaufränkisch
25422,Red Blend
10267,Pinot Noir
57524,Nebbiolo
106650,Zinfandel
119101,Sparkling Blend
90825,Nebbiolo
63683,Portuguese Red
20135,Rosé
19599,Bordeaux-style Red Blend
109691,Pinot Noir
15908,Cabernet Sauvignon
26721,Chardonnay
35823,Bordeaux-style Red Blend
121214,Pinot Noir
8595,Pinot Noir
42834,Viognier
124442,Cabernet Sauvignon
57861,Sparkling Blend
33202,Pinot Gris
38019,Cabernet Sauvignon
25129,Moscato
36620,Merlot
1079,Chardonnay
41878,White Blend
67779,Grüner Veltliner
21783,Zinfandel
12219,Pinot Noir
84780,Syrah
82093,Chardonnay
33888,Bordeaux-style Red Blend
7526,Viognier
109180,Cabernet Sauvignon
66735,Zinfandel
92625,Malbec
37285,Zinfandel
58794,Barbera
92272,Syrah
39764,Pinot Noir
107762,Primitivo
39538,Cabernet Sauvignon
39970,Riesling
126735,Syrah
112109,Portuguese Red
71259,Sauvignon Blanc
51639,Portuguese White
2281,Viognier
75989,Rhône-style Red Blend
26025,Red Blend
42146,Chardonnay
92737,Pinot Noir
49831,Sauvignon Blanc
92114,Malbec
28565,Sauvignon Blanc
49172,Cabernet Sauvignon
61516,Carmenère
358,Riesling
41466,Chardonnay
77707,Malbec
24082,Chardonnay
40043,Prosecco
50540,Tempranillo Blend
124700,Syrah
51558,Tempranillo
2832,Bordeaux-style Red Blend
79795,Zinfandel
107204,Chardonnay
60523,Red Blend
35172,Pinot Noir
24046,Nebbiolo
110491,Chardonnay
67909,Sangiovese
74528,Pinot Noir
69856,Rosé
34024,Pinot Noir
129385,Rosé
116057,Melon
118143,White Blend
100419,Gewürztraminer
70488,Verdejo
123799,Chardonnay
41969,Chardonnay
51613,Chardonnay
85618,Albariño
79097,Red Blend
55781,Pinot Noir
55328,Bordeaux-style Red Blend
122476,Nebbiolo
117186,Chardonnay
79738,Sparkling Blend
80578,Sauvignon Blanc
91250,Red Blend
3164,Red Blend
87173,Malbec
115336,Cabernet Sauvignon
109274,Gewürztraminer
67233,Rosé
18091,Syrah
111957,Zinfandel
18833,Pinot Noir
110989,White Blend
20643,Primitivo
40328,Cabernet Sauvignon
122785,"Corvina, Rondinella, Molinara"
86066,Tempranillo
98313,Malbec
69404,Syrah
6100,Chardonnay
62857,Chardonnay
99124,Pinot Noir
104445,Chardonnay
95494,Nebbiolo
88113,Zinfandel
31284,Riesling
88893,Chardonnay
68458,Syrah
103831,Cabernet Sauvignon
105343,Meritage
76721,Portuguese Red
37504,Red Blend
50955,Portuguese Red
82755,White Blend
45555,Tinta de Toro
88868,Chardonnay
64324,Riesling
72571,Chardonnay
41908,Riesling
10578,Cabernet Sauvignon
104357,Zinfandel
38277,Bordeaux-style Red Blend
88321,Malbec
116194,Chardonnay
10523,White Blend
36039,Cabernet Sauvignon
96605,Zinfandel
23889,Sauvignon Blanc
21284,Touriga Nacional
79878,Gamay
51431,Pinot Noir
113958,Chardonnay
66774,Tempranillo
12289,Cabernet Sauvignon
103564,Pinot Gris
23828,Champagne Blend
95959,Gewürztraminer
83676,Bordeaux-style Red Blend
36547,Pinot Noir
70396,Gewürztraminer
32620,Greco
117984,Barbera
26050,Sparkling Blend
47577,Chardonnay
50933,Cabernet Franc
76572,Bordeaux-style Red Blend
38642,Riesling
51567,Sauvignon Blanc
49997,Cabernet Sauvignon
30875,Albariño
108843,Red Blend
102356,Nebbiolo
52629,Gewürztraminer
99013,Tempranillo
98628,Garganega
15949,Tempranillo
107354,Pinot Grigio
13448,Red Blend
73870,Pinot Noir
33092,Rhône-style White Blend
124435,Bordeaux-style Red Blend
14592,Cabernet Sauvignon
81631,Tempranillo
1579,Pinot Noir
93000,Grüner Veltliner
6902,Pinot Grigio
109332,Pinot Noir
59018,Red Blend
20374,Riesling
10510,Carmenère
593,Riesling
48181,Chardonnay
28079,Sauvignon Blanc
129726,Chardonnay
65889,Cabernet Franc
4752,Sauvignon Blanc
8483,"Corvina, Rondinella, Molinara"
4701,Rosé
87601,Tinta de Toro
41200,Pinot Noir
18498,Grenache
46228,Rosé
